,Grid_X,Grid_Y,Density
5697,57.0,98.0,0.0
5698,57.0,99.0,0.0
5699,57.0,100.0,0.0
5700,58.0,1.0,0.0
5701,58.0,2.0,0.0
5702,58.0,3.0,0.0
5703,58.0,4.0,0.0
5704,58.0,5.0,0.0
5705,58.0,6.0,0.0
5706,58.0,7.0,0.0
5707,58.0,8.0,0.0
5708,58.0,9.0,0.0
5709,58.0,10.0,0.0
5710,58.0,11.0,0.0
5711,58.0,12.0,0.0
5712,58.0,13.0,0.0
5713,58.0,14.0,0.0
5714,58.0,15.0,0.0
5715,58.0,16.0,0.0
5716,58.0,17.0,0.0
5717,58.0,18.0,0.0
5718,58.0,19.0,0.0
5719,58.0,20.0,0.0
5720,58.0,21.0,0.0
5721,58.0,22.0,0.0
5722,58.0,23.0,0.0
5723,58.0,24.0,0.0
5724,58.0,25.0,0.0
5725,58.0,26.0,0.0
5726,58.0,27.0,0.0
5727,58.0,28.0,0.0
5728,58.0,29.0,0.0
5729,58.0,30.0,0.0
5730,58.0,31.0,0.0
5731,58.0,32.0,0.0
5732,58.0,33.0,0.0
5733,58.0,34.0,0.0
5734,58.0,35.0,0.0
5735,58.0,36.0,0.0
5736,58.0,37.0,0.0
5737,58.0,38.0,
5738,58.0,39.0,0.00555186170390899
5739,58.0,40.0,0.007216157260612928
5740,58.0,41.0,0.0006313140533294971
5741,58.0,42.0,0.0007193186676432316
5742,58.0,43.0,0.0
5743,58.0,44.0,0.0
5744,58.0,45.0,0.0
5745,58.0,46.0,0.0
5746,58.0,47.0,0.0
5747,58.0,48.0,0.0
5748,58.0,49.0,0.0
5749,58.0,50.0,0.0
5750,58.0,51.0,0.0
5751,58.0,52.0,0.0
5752,58.0,53.0,0.0
5753,58.0,54.0,0.0
5754,58.0,55.0,0.0
5755,58.0,56.0,0.0
5756,58.0,57.0,0.0
5757,58.0,58.0,0.0
5758,58.0,59.0,0.0
5759,58.0,60.0,0.0
5760,58.0,61.0,0.0
5761,58.0,62.0,0.0
5762,58.0,63.0,0.0
5763,58.0,64.0,0.0
5764,58.0,65.0,0.0
5765,58.0,66.0,0.0
5766,58.0,67.0,0.0
5767,58.0,68.0,0.0
5768,58.0,69.0,0.0
5769,58.0,70.0,0.0
5770,58.0,71.0,0.0
5771,58.0,72.0,0.0
5772,58.0,73.0,0.0
5773,58.0,74.0,0.0
5774,58.0,75.0,0.0
5775,58.0,76.0,0.0
5776,58.0,77.0,0.0
5777,58.0,78.0,0.0
5778,58.0,79.0,0.0
5779,58.0,80.0,0.0
5780,58.0,81.0,0.0
5781,58.0,82.0,0.0
5782,58.0,83.0,0.0
5783,58.0,84.0,0.0
5784,58.0,85.0,0.0
5785,58.0,86.0,0.0
5786,58.0,87.0,0.0
5787,58.0,88.0,0.0
5788,58.0,89.0,0.0
5789,58.0,90.0,0.0
5790,58.0,91.0,0.0
5791,58.0,92.0,0.0
5792,58.0,93.0,0.0
5793,58.0,94.0,0.0
5794,58.0,95.0,0.0
5795,58.0,96.0,0.0
5796,58.0,97.0,0.0
5797,58.0,98.0,0.0
5798,58.0,99.0,0.0
5799,58.0,100.0,0.0
5800,59.0,1.0,0.0
5801,59.0,2.0,0.0
5802,59.0,3.0,0.0
5803,59.0,4.0,0.0
5804,59.0,5.0,0.0
5805,59.0,6.0,0.0
5806,59.0,7.0,0.0
5807,59.0,8.0,0.0
5808,59.0,9.0,0.0
5809,59.0,10.0,0.0
5810,59.0,11.0,0.0
5811,59.0,12.0,0.0
5812,59.0,13.0,0.0
5813,59.0,14.0,0.0
5814,59.0,15.0,0.0
5815,59.0,16.0,0.0
5816,59.0,17.0,0.0
5817,59.0,18.0,0.0
5818,59.0,19.0,0.0
5819,59.0,20.0,0.0
5820,59.0,21.0,0.0
5821,59.0,22.0,0.0
5822,59.0,23.0,0.0
5823,59.0,24.0,0.0
5824,59.0,25.0,0.0
5825,59.0,26.0,0.0
5826,59.0,27.0,0.0
5827,59.0,28.0,0.0
5828,59.0,29.0,0.0
5829,59.0,30.0,0.0
5830,59.0,31.0,0.0
5831,59.0,32.0,0.0
5832,59.0,33.0,0.0
5833,59.0,34.0,0.0
5834,59.0,35.0,0.0
5835,59.0,36.0,0.0
5836,59.0,37.0,0.0
5837,59.0,38.0,0.005523651815601023
5838,59.0,39.0,0.23576145251097247
5839,59.0,40.0,0.044776655422044086
5840,59.0,41.0,5.580850664497112e-05
5841,59.0,42.0,0.08281800137582772
5842,59.0,43.0,0.0
5843,59.0,44.0,0.0
5844,59.0,45.0,0.0
5845,59.0,46.0,0.0
5846,59.0,47.0,0.0
5847,59.0,48.0,0.0
5848,59.0,49.0,0.0
5849,59.0,50.0,0.0
5850,59.0,51.0,0.0
5851,59.0,52.0,0.0
5852,59.0,53.0,0.0
5853,59.0,54.0,0.0
5854,59.0,55.0,0.0
5855,59.0,56.0,0.0
5856,59.0,57.0,0.0
5857,59.0,58.0,0.0
5858,59.0,59.0,0.0
5859,59.0,60.0,0.0
5860,59.0,61.0,0.0
5861,59.0,62.0,0.0
5862,59.0,63.0,0.0
5863,59.0,64.0,0.0
5864,59.0,65.0,0.0
5865,59.0,66.0,0.0
5866,59.0,67.0,0.0
5867,59.0,68.0,0.0
5868,59.0,69.0,0.0
5869,59.0,70.0,0.0
5870,59.0,71.0,0.0
5871,59.0,72.0,0.0
5872,59.0,73.0,0.0
5873,59.0,74.0,0.0
